Item,Language,Participant,Gender,Age,Rating,Bias
director,Hungarian,hu_20,female,25-35,-1,male
director,Hungarian,hu_21,female,25-35,0,male
director,Hungarian,hu_22,male,25-35,-2,male
director,Hungarian,hu_23,male,25-35,-1,male
director,Hungarian,hu_24,male,25-35,-1,male
cleaner,Hungarian,hu_1,male,25-35,1,female
cleaner,Hungarian,hu_2,male,45-55,2,female
cleaner,Hungarian,hu_3,male,25-35,0,female
cleaner,Hungarian,hu_4,male,35-45,3,female
cleaner,Hungarian,hu_5,male,25-35,0,female
cleaner,Hungarian,hu_6,male,25-35,1,female
cleaner,Hungarian,hu_7,female,35-45,-1,female
cleaner,Hungarian,hu_8,female,45-55,2,female
cleaner,Hungarian,hu_9,male,25-35,2,female
cleaner,Hungarian,hu_11,female,45-55,0,female
cleaner,Hungarian,hu_12,male,25-35,2,female
cleaner,Hungarian,hu_14,female,25-35,0,female
cleaner,Hungarian,hu_15,female,35-45,2,female
cleaner,Hungarian,hu_16,female,25-35,2,female
cleaner,Hungarian,hu_17,female,45-55,2,female
cleaner,Hungarian,hu_18,female,45-55,0,female
cleaner,Hungarian,hu_19,female,25-35,2,female
cleaner,Hungarian,hu_20,female,25-35,1,female
cleaner,Hungarian,hu_21,female,25-35,2,female
cleaner,Hungarian,hu_22,male,25-35,2,female
cleaner,Hungarian,hu_23,male,25-35,1,female
cleaner,Hungarian,hu_24,male,25-35,-1,female
HR personnel,Hungarian,hu_1,male,25-35,0,female
HR personnel,Hungarian,hu_2,male,45-55,1,female
HR personnel,Hungarian,hu_3,male,25-35,0,female
HR personnel,Hungarian,hu_4,male,35-45,2,female
HR personnel,Hungarian,hu_5,male,25-35,0,female
HR personnel,Hungarian,hu_6,male,25-35,1,female
HR personnel,Hungarian,hu_7,female,35-45,1,female
HR personnel,Hungarian,hu_8,female,45-55,1,female
HR personnel,Hungarian,hu_9,male,25-35,2,female
HR personnel,Hungarian,hu_11,female,45-55,0,female
HR personnel,Hungarian,hu_12,male,25-35,2,female
HR personnel,Hungarian,hu_14,female,25-35,0,female
HR personnel,Hungarian,hu_15,female,35-45,2,female
HR personnel,Hungarian,hu_16,female,25-35,1,female
HR personnel,Hungarian,hu_17,female,45-55,0,female
HR personnel,Hungarian,hu_18,female,45-55,0,female
HR personnel,Hungarian,hu_19,female,25-35,2,female
HR personnel,Hungarian,hu_20,female,25-35,1,female
HR personnel,Hungarian,hu_21,female,25-35,1,female
HR personnel,Hungarian,hu_22,male,25-35,1,female
HR personnel,Hungarian,hu_23,male,25-35,1,female
HR personnel,Hungarian,hu_24,male,25-35,2,female
housekeeper,Hungarian,hu_1,male,25-35,1,female
housekeeper,Hungarian,hu_2,male,45-55,2,female
housekeeper,Hungarian,hu_3,male,25-35,0,female
housekeeper,Hungarian,hu_4,male,35-45,3,female
housekeeper,Hungarian,hu_5,male,25-35,2,female
housekeeper,Hungarian,hu_6,male,25-35,2,female
housekeeper,Hungarian,hu_7,female,35-45,1,female
housekeeper,Hungarian,hu_8,female,45-55,3,female
housekeeper,Hungarian,hu_9,male,25-35,2,female
housekeeper,Hungarian,hu_11,female,45-55,0,female
housekeeper,Hungarian,hu_12,male,25-35,2,female
housekeeper,Hungarian,hu_14,female,25-35,2,female
housekeeper,Hungarian,hu_15,female,35-45,2,female
housekeeper,Hungarian,hu_16,female,25-35,2,female
housekeeper,Hungarian,hu_17,female,45-55,3,female
housekeeper,Hungarian,hu_18,female,45-55,2,female
housekeeper,Hungarian,hu_19,female,25-35,3,female
housekeeper,Hungarian,hu_20,female,25-35,2,female
housekeeper,Hungarian,hu_21,female,25-35,0,female
